time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-09-16T20:03:22.415Z,27.5961,56.3791,10,4.3,mb,,112,2.644,1.25,us,us70005h8e,2019-09-24T18:02:20.040Z,"46km NNE of Bandar 'Abbas, Iran",earthquake,8.4,1.9,0.083,41,reviewed,us,us
2019-09-16T16:55:41.986Z,27.6148,56.3437,10,4.5,mb,,105,2.661,0.93,us,us70005h57,2019-09-24T19:48:49.040Z,"47km N of Bandar 'Abbas, Iran",earthquake,7.4,1.9,0.094,33,reviewed,us,us
2019-09-08T19:13:49.235Z,26.9847,55.5638,34.36,4.4,mb,,87,2.111,1.26,us,us70005h4r,2019-10-07T14:23:58.040Z,"70km W of Qeshm, Iran",earthquake,9.8,6.3,0.13,17,reviewed,us,us
2019-09-08T10:53:27.902Z,26.9094,55.608,10,4.6,mb,,82,2.028,0.64,us,us70005de5,2019-10-02T06:26:55.040Z,"66km W of Qeshm, Iran",earthquake,4.1,1.9,0.077,50,reviewed,us,us
2019-09-03T18:47:03.587Z,27.1568,59.6836,35.24,4.9,mb,,76,3.826,1.09,us,us70005bl4,2019-10-04T21:50:31.040Z,"99km W of Iranshahr, Iran",earthquake,7.6,5.7,0.053,118,reviewed,us,us
2019-08-27T20:05:30.346Z,27.946,56.6744,10,4.2,mb,,76,3.018,0.78,us,us700058wf,2019-09-27T18:57:57.040Z,"92km NNE of Bandar 'Abbas, Iran",earthquake,7.4,1.9,0.103,32,reviewed,us,us
2019-07-26T11:45:12.224Z,31.9141,55.6066,10,4.3,mb,,49,6.963,0.73,us,us60004vua,2019-08-27T10:30:29.040Z,"38km NNE of Bafq, Iran",earthquake,6.6,1.9,0.089,36,reviewed,us,us
2019-07-22T22:59:02.026Z,26.759,55.0084,10,5,mww,,69,2.103,0.7,us,us70004qwn,2019-10-04T16:37:39.040Z,"25km NNE of Bandar-e Lengeh, Iran",earthquake,7.7,1.8,0.086,13,reviewed,us,us
2019-07-16T18:15:26.144Z,28.4389,56.8105,10,4.3,mb,,78,3.521,0.96,us,us70004llj,2019-10-04T16:37:03.040Z,"92km S of Kuh Sefid, Iran",earthquake,4.4,1.9,0.079,50,reviewed,us,us
2019-07-16T16:21:04.552Z,28.4173,56.761,10,4.5,mb,,73,3.493,0.88,us,us70004lh0,2019-10-04T16:37:03.040Z,"95km S of Kuh Sefid, Iran",earthquake,6.3,1.8,0.061,80,reviewed,us,us
2019-06-20T10:20:29.630Z,33.5304,59.6126,10,4.5,mb,,64,7.893,0.88,us,us600043m8,2019-09-11T15:19:20.040Z,"45km ESE of Qayen, Iran",earthquake,7.8,1.9,0.064,72,reviewed,us,us
2019-06-17T13:32:26.307Z,27.6334,55.8904,10,4.7,mb,,86,2.691,0.85,us,us600041r7,2019-09-06T14:25:17.040Z,"62km NW of Bandar 'Abbas, Iran",earthquake,7.7,1.9,0.067,68,reviewed,us,us
2019-06-15T07:08:28.032Z,31.0541,56.7123,10,4.3,mb,,69,5.724,0.89,us,us6000412d,2019-09-06T14:25:08.040Z,"25km SSW of Ravar, Iran",earthquake,7.2,1.9,0.105,26,reviewed,us,us
2019-06-14T22:09:29.107Z,26.0485,59.832,16.03,4,mb,,122,3.003,0.63,us,us600043rx,2019-09-06T14:25:23.040Z,"116km NW of Chah Bahar, Iran",earthquake,9,5.2,0.299,3,reviewed,us,us
2019-06-02T01:16:58.778Z,27.6941,59.2935,61.79,4.4,mb,,70,3.896,0.85,us,us70003u9t,2019-08-24T21:17:46.040Z,"147km WNW of Iranshahr, Iran",earthquake,6.2,6.3,0.087,38,reviewed,us,us
2019-05-30T23:09:12.213Z,29.1951,56.2983,10,4.1,mb,,128,4.233,1.21,us,us70003tgq,2019-08-24T21:17:38.040Z,"49km W of Kuh Sefid, Iran",earthquake,7,1.9,0.114,21,reviewed,us,us
2019-05-13T08:09:10.812Z,26.8401,55.2477,35,4.3,mb,,72,2.074,0.83,us,us70003k9a,2019-08-01T17:15:16.040Z,"48km NE of Bandar-e Lengeh, Iran",earthquake,6.9,2,0.093,33,reviewed,us,us
2019-05-10T02:41:56.702Z,27.495,56.0641,35,4.1,mb,,102,2.542,1.17,us,us70003j5j,2019-08-01T17:15:08.040Z,"40km NNW of Bandar 'Abbas, Iran",earthquake,5.1,2,0.14,16,reviewed,us,us
2019-04-25T15:03:16.500Z,30.6962,57.3128,10,4.4,mb,,40,5.556,0.97,us,us70003byn,2019-07-13T18:42:39.040Z,"50km NNE of Kerman, Iran",earthquake,8,1.9,0.067,64,reviewed,us,us
2019-04-20T02:41:06.243Z,27.2213,55.8008,10,4.7,mb,,45,2.295,0.72,us,us700039hi,2019-06-26T20:54:58.040Z,"47km W of Bandar 'Abbas, Iran",earthquake,7.3,1.9,0.047,139,reviewed,us,us
2019-04-16T22:43:50.059Z,30.8446,57.2132,10,4,mb,,81,5.521,0.28,us,us70003c07,2019-06-26T20:54:45.040Z,"60km SE of Ravar, Iran",earthquake,9.7,2,0.15,12,reviewed,us,us
2019-03-27T06:19:30.440Z,27.536,56.564,10,4.2,mb,,108,2.6,0.49,us,us1000jm9p,2019-06-08T20:51:15.040Z,"47km NE of Bandar 'Abbas, Iran",earthquake,4.5,1.9,0.113,22,reviewed,us,us
2019-03-27T04:52:10.722Z,28.2317,56.1775,10,4.3,mb,,94,3.273,0.66,us,us1000jm8v,2019-06-08T20:51:15.040Z,"116km N of Bandar 'Abbas, Iran",earthquake,8.6,1.6,0.093,33,reviewed,us,us
2019-03-02T10:04:48.400Z,30.7342,57.3024,10,4.3,mb,,73,5.537,0.68,us,us1000j9u4,2019-05-14T18:36:16.040Z,"54km NNE of Kerman, Iran",earthquake,7.9,1.9,0.096,31,reviewed,us,us
2019-02-14T08:00:45.630Z,28.123,55.7877,10,4.2,mb,,91,3.186,0.71,us,us2000jhtf,2019-05-01T22:00:42.040Z,"114km NNW of Bandar 'Abbas, Iran",earthquake,8.2,1.9,0.136,15,reviewed,us,us
2019-02-11T04:12:31.330Z,27.0666,55.6283,10,4.5,mb,,59,2.175,0.83,us,us2000jg6x,2019-04-25T15:32:06.040Z,"64km W of Qeshm, Iran",earthquake,7.2,1.8,0.074,53,reviewed,us,us
2019-02-10T14:56:38.050Z,27.0121,55.5816,10,4.3,mb,,87,2.133,0.47,us,us2000jni3,2019-04-25T15:32:04.040Z,"68km W of Qeshm, Iran",earthquake,5.3,1.9,0.103,27,reviewed,us,us
2019-02-10T10:54:48.300Z,27.0899,55.5458,10,5.4,mww,,28,2.216,0.65,us,us2000jfx7,2019-04-25T15:32:03.040Z,"73km W of Bandar 'Abbas, Iran",earthquake,7.3,1.8,0.059,28,reviewed,us,us
2019-02-09T07:19:46.900Z,27.9816,56.6045,10,4.1,mb,,94,3.045,0.88,us,us2000jng6,2019-04-25T15:31:58.040Z,"93km NNE of Bandar 'Abbas, Iran",earthquake,9.1,1.9,0.123,18,reviewed,us,us
2019-01-14T01:27:14.710Z,29.1458,58.2239,10,4,mb,,91,4.554,0.85,us,us1000is46,2019-04-02T20:51:09.040Z,"13km WNW of Bam, Iran",earthquake,8.4,1.9,0.196,7,reviewed,us,us
